epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
153,4352.43,0.04888,0.36596,0.78298,2.24927,0.002476,0.002476,0.002476
154,4372.92,0.06498,0.37447,0.77021,2.24023,0.0024265,0.0024265,0.0024265
155,4393.25,0.05358,0.4,0.77447,2.24561,0.002377,0.002377,0.002377
156,4414.13,0.05023,0.40426,0.79149,2.23486,0.0023275,0.0023275,0.0023275
157,4435.01,0.05108,0.39574,0.79149,2.24121,0.002278,0.002278,0.002278
158,4456.48,0.04809,0.38298,0.78298,2.22119,0.0022285,0.0022285,0.0022285
159,4477.22,0.05948,0.39574,0.78298,2.24219,0.002179,0.002179,0.002179
160,4498.24,0.05438,0.39149,0.78298,2.24512,0.0021295,0.0021295,0.0021295
161,4520.45,0.05139,0.39574,0.79574,2.22266,0.00208,0.00208,0.00208
162,4541.77,0.05107,0.40851,0.79149,2.24463,0.0020305,0.0020305,0.0020305
163,4563.59,0.04969,0.40851,0.79149,2.23755,0.001981,0.001981,0.001981
164,4585.25,0.05378,0.40851,0.77447,2.23779,0.0019315,0.0019315,0.0019315
165,4606.44,0.03655,0.39149,0.78298,2.23633,0.001882,0.001882,0.001882
166,4626.78,0.04133,0.39574,0.78723,2.23804,0.0018325,0.0018325,0.0018325
167,4647.69,0.04858,0.39574,0.79574,2.22681,0.001783,0.001783,0.001783
168,4668.6,0.0458,0.40426,0.78723,2.23926,0.0017335,0.0017335,0.0017335
169,4689.91,0.03896,0.4,0.79149,2.21948,0.001684,0.001684,0.001684
170,4710.44,0.04441,0.40426,0.8,2.21924,0.0016345,0.0016345,0.0016345
171,4730.8,0.03987,0.41702,0.79149,2.22559,0.001585,0.001585,0.001585
172,4751.24,0.0413,0.40426,0.81277,2.21948,0.0015355,0.0015355,0.0015355
173,4772.26,0.04476,0.41702,0.80851,2.23853,0.001486,0.001486,0.001486
174,4793.84,0.03885,0.41277,0.80426,2.22949,0.0014365,0.0014365,0.0014365
175,4814.68,0.0371,0.39574,0.79149,2.23071,0.001387,0.001387,0.001387
176,4835.61,0.03126,0.39574,0.78298,2.22241,0.0013375,0.0013375,0.0013375
177,4856.49,0.04323,0.39574,0.78298,2.24146,0.001288,0.001288,0.001288
178,4877.23,0.03809,0.39149,0.77872,2.24194,0.0012385,0.0012385,0.0012385
179,4897.52,0.03299,0.37872,0.78298,2.24438,0.001189,0.001189,0.001189
180,4918.61,0.03784,0.38298,0.78298,2.24805,0.0011395,0.0011395,0.0011395
181,4939.42,0.03136,0.37447,0.77872,2.24609,0.00109,0.00109,0.00109
182,4960.26,0.03799,0.36596,0.77021,2.25244,0.0010405,0.0010405,0.0010405
183,4981.32,0.04173,0.34043,0.77447,2.25073,0.000991,0.000991,0.000991
184,5001.98,0.0314,0.34468,0.78298,2.2688,0.0009415,0.0009415,0.0009415
185,5022.56,0.02432,0.34468,0.78298,2.24512,0.000892,0.000892,0.000892
186,5043.34,0.03163,0.35745,0.79149,2.23132,0.0008425,0.0008425,0.0008425
187,5066.93,0.03366,0.37021,0.79149,2.24902,0.000793,0.000793,0.000793
188,5087.66,0.03554,0.35745,0.78298,2.26001,0.0007435,0.0007435,0.0007435
189,5108.47,0.03193,0.35745,0.78298,2.26392,0.000694,0.000694,0.000694
190,5129.19,0.03315,0.3617,0.78723,2.26782,0.0006445,0.0006445,0.0006445
191,5154.72,0.02769,0.36596,0.78723,2.26538,0.000595,0.000595,0.000595
192,5177.6,0.02953,0.3617,0.78298,2.28491,0.0005455,0.0005455,0.0005455
193,5201.92,0.03455,0.35745,0.79574,2.26929,0.000496,0.000496,0.000496
194,5226.13,0.02664,0.3617,0.79149,2.2627,0.0004465,0.0004465,0.0004465
195,5252.49,0.02551,0.3617,0.79149,2.26978,0.000397,0.000397,0.000397
196,5276.94,0.02731,0.35745,0.78723,2.27246,0.0003475,0.0003475,0.0003475
197,5301.34,0.0325,0.35319,0.77872,2.2644,0.000298,0.000298,0.000298
198,5325.54,0.02708,0.34894,0.77872,2.27319,0.0002485,0.0002485,0.0002485
199,5349.38,0.02164,0.35319,0.78298,2.27759,0.000199,0.000199,0.000199
200,5379.49,0.02392,0.34894,0.77872,2.28223,0.0001495,0.0001495,0.0001495
